category,name,signature,description
function,escape / epacse,"($list$int) -> $int","Expands escaped characters (e.g. \n, \r). Strings are not expanded automatically; use this function. Passing [5,13] deletes both because 13 (\r) removes the previous character."
function,l2i,"($list$int) -> $int","Converts a list of digits into an integer (e.g. [3,1,4,1,5,9,2] -> 3141592)."
function,i2l,"($int) -> $list$int","Converts an integer back into a list of digits."
function,l2b,"($list$int,$int) -> $list$int","Base-encodes a list using the given base (e.g. base 64)."
function,b2l,"($list$int,$int) -> $list$int","Decodes a base-encoded list using the given base (e.g. base 64)."
function,limit,"($list,$int) -> $list","Returns elements from index 0 until n. Useful for infinite lists (e.g. first 10 digits of pi)."
function,timil,"($list,$int) -> $list","Returns the list with the last n elements removed. Does not work on infinite lists."
function,e2l,"($list$int,$int) -> $list$int","Finds the nth most likely possible options for an error."
function,!,"($list$list$int) -> ($list,$list,$list)","Executes a system command. Returns stdout, stderr, and a list containing the status code."
variable,pi,"$list$int","Infinite list of digits of pi. Floats do not exist; pi as a float is represented as [[pi],1]."
variable,args,"$list$list$int","Command-line arguments, each argument represented as its own list."
